0,1,2,3,4,5,6,7
2020-10-20T22:51:38.647174+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234259399,mp1,izwquex
2020-10-20T22:51:38.850675+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234259600,mp1,izwquex
2020-10-20T22:51:39.735794+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234260482,mp2,izwquex
2020-10-20T22:51:39.905650+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234260651,mp2,izwquex
2020-10-20T22:51:40.902976+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234261653,mp3,izwquex
2020-10-20T22:51:41.113192+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234261863,mp3,izwquex
2020-10-20T22:51:41.893854+00:00,app[web.1]:,AB_TESTING:,A,1603234258092,1603234262639,mp4,izwquex
2020-10-20T22:51:43.261505+00:00,app[web.1]:,AB_TESTING:,C,1603234264014,0,0,izwquex
2020-10-20T22:51:45.145168+00:00,app[web.1]:,AB_TESTING:,A,1603234265898,0,0,izwquex
2020-10-20T22:51:45.951720+00:00,app[web.1]:,AB_TESTING:,A,1603234265898,1603234266704,mp2,izwquex
2020-10-20T22:51:47.534802+00:00,app[web.1]:,AB_TESTING:,C,1603234268278,0,0,izwquex
2020-10-20T22:53:18.204562+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,0,0,dnlxwsm
2020-10-20T22:53:20.067249+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234399802,mp1,dnlxwsm
2020-10-20T22:53:20.311204+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234400045,mp1,dnlxwsm
2020-10-20T22:53:20.710977+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234400446,mp1,dnlxwsm
2020-10-20T22:53:20.927732+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234400663,mp1,dnlxwsm
2020-10-20T22:53:21.278809+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234401012,mp1,dnlxwsm
2020-10-20T22:53:21.441007+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234401176,mp1,dnlxwsm
2020-10-20T22:53:21.731662+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234401467,mp1,dnlxwsm
2020-10-20T22:53:22.123122+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234401858,mp1,dnlxwsm
2020-10-20T22:53:22.601767+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234402337,mp1,dnlxwsm
2020-10-20T22:53:22.837538+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234402573,mp1,dnlxwsm
2020-10-20T22:53:23.092200+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234402824,mp1,dnlxwsm
2020-10-20T22:53:23.746829+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234403071,mp1,dnlxwsm
2020-10-20T22:53:23.787865+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234403518,mp1,dnlxwsm
2020-10-20T22:53:23.925529+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234403653,mp1,dnlxwsm
2020-10-20T22:53:24.270116+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234403913,mp1,dnlxwsm
2020-10-20T22:53:24.919440+00:00,app[web.1]:,AB_TESTING:,B,1603234397938,1603234404654,mp1,dnlxwsm
2020-10-21T09:45:48.437882+00:00,app[web.1]:,AB_TESTING:,A,1603273548128,0,0,yzvir
2020-10-21T09:45:51.484076+00:00,app[web.1]:,AB_TESTING:,B,1603273551341,0,0,yzvir
2020-10-21T09:45:55.007787+00:00,app[web.1]:,AB_TESTING:,A,1603273554882,0,0,yzvir
2020-10-21T09:46:00.121572+00:00,app[web.1]:,AB_TESTING:,B,1603273559997,0,0,yzvir
2020-10-21T13:01:52.485529+00:00,app[web.1]:,AB_TESTING:,A,1603285311862,0,0,yzvir
2020-10-21T13:01:56.233088+00:00,app[web.1]:,AB_TESTING:,A,1603285316084,0,0,yzvir
2020-10-21T13:02:00.050051+00:00,app[web.1]:,AB_TESTING:,B,1603285319903,0,0,yzvir
2020-10-21T13:16:17.526707+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,0,0,yzvir
